date,gender,age,대출총괄_mo,대출총괄_pc,주택관련대출_mo,주택관련대출_pc,자동차대출_mo,자동차대출_pc,대환대출_mo,대환대출_pc,핀다대출외서비스_mo,핀다대출외서비스_pc
2022-02-07,f,6,25.97402,18.72791,67.85714,67.49116,5.84415,6.71378,3.08441,5.30035,10.17316,18.37455
2022-02-07,m,6,20.73509,18.64801,53.05131,60.60606,4.50762,2.7972,3.43273,3.0303,11.99722,18.53146
2022-02-07,f,7,26.32158,17.10526,58.5903,55.70175,5.78193,6.57894,2.14757,2.19298,7.59911,23.24561
2022-02-07,m,7,21.43981,13.38983,51.18017,61.18644,4.99606,6.10169,3.46184,6.10169,10.14948,18.30508
2022-02-07,f,8,25.02242,19.35483,63.13901,58.87096,6.90582,5.64516,2.60089,3.2258,7.98206,23.38709
2022-02-07,m,8,27.65451,24.17218,52.85261,67.54966,6.10142,3.31125,4.51664,1.65562,11.17274,20.19867
2022-02-07,f,9,23.20954,17.5,53.84615,63.75,7.42705,12.5,0.5305,2.5,8.35543,18.75
2022-02-07,m,9,26.63622,21.26436,53.57686,77.01149,8.21917,7.47126,4.26179,2.29885,16.89497,24.71264
2022-02-07,f,10,33.44827,24.32432,73.44827,78.37837,11.37931,10.81081,3.44827,0.0,14.13793,18.91891
2022-02-07,m,10,29.35153,27.27272,42.66211,77.92207,7.84982,11.68831,4.77815,7.7922,17.40614,32.46753
2022-02-07,f,11,18.63905,35.89743,47.04142,51.28205,9.76331,12.82051,4.14201,15.38461,6.21301,10.25641
2022-02-07,m,11,20.33898,25.35211,35.25423,60.56338,8.13559,9.85915,3.05084,5.6338,24.40677,26.76056
2022-02-08,f,2,3.07017,2.27272,0.73099,0.0,5.84795,2.27272,0.0,0.0,1.46198,0.0
2022-02-08,m,2,8.76288,10.0,3.60824,10.0,12.88659,5.0,0.0,0.0,3.09278,5.0
2022-02-08,f,3,16.46297,14.97797,8.91445,16.29955,8.26743,5.72687,1.22214,0.88105,3.45075,5.72687
